t,rpm_ref,rpm,theta_e,va,vb,vc,duty_a,duty_b,duty_c,ia,ib,ic,ialpha,ibeta,id_ref,id_true,iq_ref,iq_true,Te
0.11493900,14000.00000000,10511.78977451,1.10518007,-256.12481689,201.64459229,54.48021698,0.02315685,0.97684312,0.67025065,-21.24102175,12.61038510,8.63063666,-21.24102175,2.29770883,-8.41240215,-7.48355033,19.70219040,20.01142038,7.68806335
0.11495900,14000.00000000,10518.83378634,1.21529803,-270.01782227,145.53836060,124.47946930,0.06712899,0.93287098,0.88899839,-21.30663967,10.60131144,10.70532822,-21.30663967,-0.06005412,-8.41240215,-7.47223579,19.70219040,19.95350076,7.66576078
0.11497900,14000.00000000,10525.83668332,1.32548951,-270.01782227,145.53836060,124.47946930,0.06712899,0.93287098,0.88899839,-21.22509419,8.28430342,12.94079077,-21.22509419,-2.68842422,-8.41240215,-7.76253885,19.70219040,19.93678106,7.66063961
0.11499900,14000.00000000,10532.87504398,1.43575446,-270.01782227,145.53836060,124.47946930,0.06712899,0.93287098,0.88899839,-20.85484016,6.83272950,14.02211066,-20.85484016,-4.15079115,-8.41240215,-6.92072571,19.70219040,20.10614287,7.72190805
0.11501900,14000.00000000,10539.84888967,1.54609294,-257.72979736,64.72786713,193.00192261,0.03048781,0.70227456,0.96951222,-19.88056191,3.24705109,16.63351081,-19.88056191,-7.72867612,-9.80484104,-8.21738531,18.78540802,19.68359101,7.56536664
0.11503900,14000.00000000,10546.75528012,1.65650395,-257.72979736,64.72786713,193.00192261,0.03048781,0.70227456,0.96951222,-18.86887830,0.68635290,18.18252540,-18.86887830,-10.10141991,-9.80484104,-8.44911359,18.78540802,19.66432638,7.55898757
0.11505900,14000.00000000,10553.66110911,1.76698735,-229.11999512,1.22801971,227.89196777,0.02394587,0.50383759,0.97605413,-17.42686361,-1.99515598,19.42201959,-17.42686361,-12.36521208,-9.80484104,-8.73089733,18.78540802,19.50296072,7.49819496
0.11507900,14000.00000000,10560.47427303,1.87754253,-229.11999512,1.22801971,227.89196777,0.02394587,0.50383759,0.97605413,-15.68029135,-4.74856587,20.42885722,-15.68029135,-14.53619200,-9.80484104,-9.12286429,18.78540802,19.33767726,7.43635479
0.11509900,14000.00000000,10567.27288900,1.98816893,-229.11999512,1.22801971,227.89196777,0.02394587,0.50383759,0.97605413,-14.30146525,-6.32195627,20.62342152,-14.30146525,-15.55692112,-9.80484104,-8.42422848,18.78540802,19.37994008,7.44956067
0.11511900,14000.00000000,10574.01904765,2.09886632,-188.16494751,-67.48110962,255.64605713,0.03769687,0.28912154,0.96230316,-11.85604479,-9.33048617,21.18653096,-11.85604479,-17.61900805,-9.80484104,-9.24509511,18.78540802,19.11866782,7.35265993
0.11513900,14000.00000000,10580.73441718,2.20963410,-188.16494751,-67.48110962,255.64605713,0.03769687,0.28912154,0.96230316,-10.02000585,-11.12693419,21.14694004,-10.02000585,-18.63332998,-9.80484104,-8.98408084,18.78540802,19.15431530,7.36524434
0.11515900,14000.00000000,10587.45793735,2.32047230,-131.56295776,-134.85615540,266.41912842,0.08886573,0.08200493,0.91799510,-7.83072724,-13.01622425,20.84695149,-7.83072724,-19.55091363,-9.80484104,-8.97363295,18.78540802,19.05340979,7.32639922
0.11517900,14000.00000000,10594.13156111,2.43138060,-131.56295776,-134.85615540,266.41912842,0.08886573,0.08200493,0.91799510,-5.38587966,-15.01559876,20.40147842,-5.38587966,-20.44805904,-9.80484104,-9.24832217,18.78540802,19.01576597,7.31309972
0.11519900,14000.00000000,10600.83120163,2.54235888,-131.56295776,-134.85615540,266.41912842,0.08886573,0.08200493,0.91799510,-3.86589258,-15.86900231,19.73489489,-3.86589258,-20.55591963,-9.80484104,-8.40141199,18.78540802,19.15482273,7.36292825
0.11521900,14000.00000000,10607.50646967,2.65340728,-63.39847565,-193.26268005,256.66116333,0.30187976,0.03132933,0.96867067,-0.74300658,-17.87695282,18.61995939,-0.74300658,-21.07150209,-9.80484104,-9.22682776,18.78540802,18.95853129,7.29099667
0.11523900,14000.00000000,10614.17454829,2.76452546,-63.39847565,-193.26268005,256.66116333,0.30187976,0.03132933,0.96867067,1.30282045,-18.84934745,17.54652700,1.30282045,-21.01316791,-9.80484104,-8.94824464,18.78540802,19.05726855,7.32777413
0.11525900,14000.00000000,10620.87093627,2.87571369,10.40386200,-237.12426758,226.72039795,0.53251207,0.01682848,0.98317152,3.62684143,-19.71843665,16.09159522,3.62684143,-20.67493154,-9.80484104,-8.93189352,18.78540802,18.99547449,7.30394360
0.11527900,14000.00000000,10627.52678994,2.98697178,10.40386200,-237.12426758,226.72039795,0.53251207,0.01682848,0.98317152,6.18612611,-20.56439563,14.37826952,6.18612611,-20.17415713,-9.80484104,-9.21925683,18.78540802,18.98078174,7.29952133
0.11529900,14000.00000000,10634.21761302,3.09829972,10.40386200,-237.12426758,226.72039795,0.53251207,0.01682848,0.98317152,7.53551247,-20.64595693,13.11044446,7.53551247,-19.48926743,-9.80484104,-8.37193580,18.78540802,19.14487358,7.35897692
0.11531900,14000.00000000,10640.88898684,3.20969772,83.80188751,-262.78372192,178.98184204,0.76188087,0.03982753,0.96017247,10.47954732,-21.07179324,10.59224592,10.47954732,-18.28124153,-9.80484104,-9.21117015,18.78540802,18.95201964,7.28842568
0.11533900,14000.00000000,10647.55524689,3.32116547,83.80188751,-262.78372192,178.98184204,0.76188087,0.03982753,0.96017247,12.19812908,-20.95571038,8.75758130,12.19812908,-17.15497695,-9.80484104,-8.93794623,18.78540802,19.05782528,7.32794404
0.11535900,14000.00000000,10654.25216696,3.43270325,151.02639771,-268.17449951,117.14808655,0.93666756,0.06333241,0.86608779,14.00352887,-20.54439329,6.54086442,14.00352887,-15.63768083,-9.80484104,-8.92607138,18.78540802,18.99897714,7.30526552
0.11537900,14000.00000000,10660.90861257,3.54431092,151.02639771,-268.17449951,117.14808655,0.93666756,0.06333241,0.86608779,15.92167397,-19.95776718,4.03609321,15.92167397,-13.85286176,-9.80484104,-9.21870315,18.78540802,18.98465151,7.30100718
0.11539900,14000.00000000,10667.60057028,3.65598844,151.02639771,-268.17449951,117.14808655,0.93666756,0.06333241,0.86608779,16.70857473,-19.22704478,2.51847005,16.70857473,-12.55477884,-9.80484104,-8.36925765,18.78540802,19.15083464,7.36125672
0.11541900,14000.00000000,10674.27298176,3.76773603,206.82354736,-252.77310181,45.94955444,0.97874653,0.02125350,0.64359236,18.57529633,-17.91315666,-0.66213967,18.57529633,-9.95987931,-9.80484104,-9.21471421,18.78540802,18.95599830,7.28997088
0.11543900,14000.00000000,10680.94008873,3.87955338,206.82354736,-252.77310181,45.94955444,0.97874653,0.02125350,0.64359236,19.43955110,-16.72396388,-2.71558722,19.43955110,-8.08774004,-9.80484104,-8.94092359,18.78540802,19.06220269,7.32963997
0.11545900,14000.00000000,10687.63792631,3.99144078,246.77915955,-217.63504028,-29.14411163,0.98376477,0.01623523,0.40892464,20.16865390,-15.13826037,-5.03039353,20.16865390,-5.83577964,-9.80484104,-8.92955090,18.78540802,19.00247471,7.30662524
0.11547900,14000.00000000,10694.29487281,4.10339806,246.77915955,-217.63504028,-29.14411163,0.98376477,0.01623523,0.40892464,20.85089826,-13.27972073,-7.57117753,20.85089826,-3.29582895,-9.80484104,-9.22422595,18.78540802,18.98778824,7.30223708
