t,rpm_ref,rpm,theta_e,va,vb,vc,duty_a,duty_b,duty_c,ia,ib,ic,ialpha,ibeta,id_ref,id_true,iq_ref,iq_true,Te
0.00043900,0.00000000,-2.09806992,-0.00024227,-0.00001138,-0.04680094,0.04681232,0.49999997,0.49990249,0.50009751,0.00000030,0.00027133,-0.00027163,0.00000030,0.00031348,0.00000000,0.00000022,0.00000000,0.00031348,0.00011990
0.00045900,0.00000000,-2.19339805,-0.00026477,-0.00001782,-0.05230926,0.05232708,0.49999994,0.49989101,0.50010902,0.00000021,0.00027004,-0.00027026,0.00000021,0.00031194,0.00000000,0.00000013,0.00000000,0.00031194,0.00011932
0.00047900,0.00000000,-2.28873982,-0.00028826,-0.00001782,-0.05230926,0.05232708,0.49999994,0.49989101,0.50010902,-0.00000007,0.00024894,-0.00024887,-0.00000007,0.00028741,0.00000000,-0.00000015,0.00000000,0.00028741,0.00010993
0.00049900,0.00000000,-2.38407090,-0.00031275,-0.00001782,-0.05230926,0.05232708,0.49999994,0.49989101,0.50010902,-0.00000027,0.00030788,-0.00030762,-0.00000027,0.00035536,0.00000000,-0.00000038,0.00000000,0.00035536,0.00013593
0.00051900,0.00000000,-2.47869982,-0.00033824,0.00001432,0.02950423,-0.02951855,0.50000006,0.50006145,0.49993852,0.00000139,0.00341378,-0.00341517,0.00000139,0.00394269,0.00000000,0.00000006,0.01248921,0.00394269,0.00150808
0.00053900,0.00000000,-2.57200247,-0.00036471,0.00001432,0.02950423,-0.02951855,0.50000006,0.50006145,0.49993852,0.00000313,0.00658294,-0.00658606,0.00000313,0.00760312,0.00000000,0.00000035,0.01248921,0.00760313,0.00290820
0.00055900,0.00000000,-2.66409642,-0.00039215,-0.00001309,-0.03877902,0.03879211,0.49999997,0.49991921,0.50008082,0.00000425,0.00857401,-0.00857825,0.00000425,0.00990286,0.00000000,0.00000036,0.01248921,0.00990286,0.00378785
0.00057900,0.00000000,-2.75573876,-0.00042055,-0.00001309,-0.03877902,0.03879211,0.49999997,0.49991921,0.50008082,0.00000476,0.00939529,-0.00940005,0.00000476,0.01085149,0.00000000,0.00000020,0.01248921,0.01085149,0.00415070
0.00059900,0.00000000,-2.84701666,-0.00044991,-0.00001309,-0.03877902,0.03879211,0.49999997,0.49991921,0.50008082,0.00000539,0.01028913,-0.01029452,0.00000539,0.01188398,0.00000000,0.00000004,0.01248921,0.01188398,0.00454562
0.00061900,0.00000000,-2.93807682,-0.00048023,-0.00002196,-0.06082027,0.06084223,0.49999994,0.49987328,0.50012672,0.00000598,0.01045555,-0.01046153,0.00000598,0.01207649,0.00000000,0.00000018,0.01248921,0.01207649,0.00461926
0.00063900,0.00000000,-3.02904809,-0.00051150,-0.00002196,-0.06082027,0.06084223,0.49999994,0.49987328,0.50012672,0.00000670,0.01069744,-0.01070414,0.00000670,0.01235620,0.00000000,0.00000038,0.01248921,0.01235621,0.00472625
0.00065900,0.00000000,-3.11991926,-0.00054372,-0.00003573,-0.07054255,0.07057828,0.49999988,0.49985299,0.50014699,0.00000729,0.01083765,-0.01084494,0.00000729,0.01251845,0.00000000,0.00000048,0.01248921,0.01251845,0.00478831
0.00067900,0.00000000,-3.21077035,-0.00057689,-0.00003573,-0.07054255,0.07057828,0.49999988,0.49985299,0.50014699,0.00000776,0.01087710,-0.01088486,0.00000776,0.01256427,0.00000000,0.00000051,0.01248921,0.01256428,0.00480584
0.00069900,0.00000000,-3.30158604,-0.00061101,-0.00003573,-0.07054255,0.07057828,0.49999988,0.49985299,0.50014699,0.00000839,0.01099248,-0.01100086,0.00000839,0.01269786,0.00000000,0.00000063,0.01248921,0.01269787,0.00485693
0.00071900,0.00000000,-3.39238612,-0.00064608,-0.00004718,-0.07697488,0.07702205,0.49999985,0.49983957,0.50016040,0.00000882,0.01095002,-0.01095885,0.00000882,0.01264909,0.00000000,0.00000065,0.01248921,0.01264909,0.00483828
0.00073900,0.00000000,-3.48318527,-0.00068211,-0.00004718,-0.07697488,0.07702205,0.49999985,0.49983957,0.50016040,0.00000944,0.01098387,-0.01099331,0.00000944,0.01268853,0.00000000,0.00000078,0.01248921,0.01268853,0.00485336
0.00075900,0.00000000,-3.57396310,-0.00071908,-0.00006095,-0.08253380,0.08259474,0.49999982,0.49982798,0.50017202,0.00000997,0.01099256,-0.01100253,0.00000997,0.01269887,0.00000000,0.00000083,0.01248921,0.01269887,0.00485732
0.00077900,0.00000000,-3.66475152,-0.00075701,-0.00006095,-0.08253380,0.08259474,0.49999982,0.49982798,0.50017202,0.00001042,0.01097646,-0.01098689,0.00001042,0.01268055,0.00000000,0.00000082,0.01248921,0.01268055,0.00485031
0.00079900,0.00000000,-3.75552792,-0.00079588,-0.00006095,-0.08253380,0.08259474,0.49999982,0.49982798,0.50017202,0.00001109,0.01103651,-0.01104760,0.00001109,0.01275026,0.00000000,0.00000094,0.01248921,0.01275027,0.00487698
0.00081900,0.00000000,-3.84630302,-0.00083571,-0.00007463,-0.08785535,0.08792998,0.49999976,0.49981689,0.50018311,0.00001125,0.01097961,-0.01099085,0.00001125,0.01268465,0.00000000,0.00000065,0.01248921,0.01268465,0.00485188
0.00083900,0.00000000,-3.93708332,-0.00087649,-0.00007463,-0.08785535,0.08792998,0.49999976,0.49981689,0.50018311,0.00001164,0.01099903,-0.01101067,0.00001164,0.01270731,0.00000000,0.00000050,0.01248921,0.01270731,0.00486055
0.00085900,0.00000000,-4.02784779,-0.00091822,-0.00008596,-0.09312409,0.09321004,0.49999973,0.49980590,0.50019407,0.00001218,0.01099870,-0.01101088,0.00001218,0.01270724,0.00000000,0.00000052,0.01248921,0.01270724,0.00486052
0.00087900,0.00000000,-4.11862486,-0.00096089,-0.00008596,-0.09312409,0.09321004,0.49999973,0.49980590,0.50019407,0.00001289,0.01097894,-0.01099183,0.00001289,0.01268483,0.00000000,0.00000070,0.01248921,0.01268483,0.00485195
0.00089900,0.00000000,-4.20939140,-0.00100452,-0.00008596,-0.09312409,0.09321004,0.49999973,0.49980590,0.50019407,0.00001387,0.01103529,-0.01104916,0.00001387,0.01275047,0.00000000,0.00000106,0.01248921,0.01275047,0.00487706
