t,id_ref,iq_ref,id,iq,ia,ib,ic,vd_cmd,vq_cmd,va_ref,vb_ref,vc_ref,da,db,dc,va,vb,vc,torque_e,omega_m
0.001000000,0.000000000,1.250000000,0.000023802,1.050761133,0.000277835,0.909846886,-0.910124721,-0.000322134,0.349644560,-0.000237604,0.302919932,-0.302682328,0.499995050,0.506310832,0.493694118,-0.000237604,0.302919932,-0.302682328,0.165494879,0.178423173
0.001050000,0.000000000,1.312500000,0.000029777,1.113081131,0.000219726,0.963846655,-0.964066381,-0.000433983,0.358293663,-0.000372839,0.310477893,-0.310105054,0.499992233,0.506468289,0.493539478,-0.000372839,0.310477893,-0.310105054,0.175310278,0.228592870
0.001100000,0.000000000,1.375000000,0.000036339,1.175412483,0.000131863,1.017871133,-1.018002996,-0.000563782,0.367359013,-0.000533927,0.318409240,-0.317875312,0.499988877,0.506633526,0.493377598,-0.000533927,0.318409240,-0.317875312,0.185127466,0.282851047
0.001150000,0.000000000,1.437500000,0.000043500,1.237752107,0.000009065,1.071920237,-1.071929301,-0.000712736,0.376844789,-0.000723220,0.326718754,-0.325995534,0.499984933,0.506806641,0.493208426,-0.000723220,0.326718754,-0.325995534,0.194945957,0.341198179
0.001200000,0.000000000,1.500000000,0.000051270,1.300097892,-0.000154207,1.125994898,-1.125840691,-0.000882048,0.386753846,-0.000943173,0.335410118,-0.334466944,0.499980351,0.506987711,0.493031939,-0.000943173,0.335410118,-0.334466944,0.204765418,0.403634568
0.001250000,0.000000000,1.562500000,0.000059661,1.362448389,-0.000363845,1.180096798,-1.179732953,-0.001072925,0.397088131,-0.001196356,0.344486282,-0.343289925,0.499975076,0.507176798,0.492848127,-0.001196356,0.344486282,-0.343289925,0.214585621,0.470160402
0.001300000,0.000000000,1.625000000,0.000068688,1.424802604,-0.000626097,1.234228182,-1.233602084,-0.001286573,0.407848972,-0.001485455,0.353949713,-0.352464258,0.499969053,0.507373952,0.492656995,-0.001485455,0.353949713,-0.352464258,0.224406410,0.540775786
0.001350000,0.000000000,1.687500000,0.000078365,1.487159853,-0.000947570,1.288391737,-1.287444167,-0.001524202,0.419037274,-0.001813280,0.363802567,-0.361989287,0.499962223,0.507579220,0.492458557,-0.001813280,0.363802567,-0.361989287,0.234227677,0.615480771
0.001400000,0.000000000,1.750000000,0.000088707,1.549519660,-0.001335224,1.342590506,-1.341255282,-0.001787023,0.430653653,-0.002182771,0.374046810,-0.371864038,0.499954526,0.507792642,0.492252833,-0.002182771,0.374046810,-0.371864038,0.244049347,0.694275370
0.001450000,0.000000000,1.812500000,0.000099731,1.611881699,-0.001796377,1.396827824,-1.395031447,-0.002076247,0.442698527,-0.002597006,0.384684294,-0.382087287,0.499945896,0.508014256,0.492039848,-0.002597006,0.384684294,-0.382087287,0.253871368,0.777159570
0.001500000,0.000000000,1.875000000,0.000111454,1.674245739,-0.002338702,1.451107282,-1.448768580,-0.002393090,0.455172180,-0.003059203,0.395716818,-0.392657614,0.499936267,0.508244100,0.491819633,-0.003059203,0.395716818,-0.392657614,0.263693704,0.864133340
0.001550000,0.000000000,1.937500000,0.000123895,1.736611619,-0.002970229,1.505432697,-1.502462469,-0.002738765,0.468074801,-0.003572731,0.407146165,-0.403573434,0.499925568,0.508482212,0.491592220,-0.003572731,0.407146165,-0.403573434,0.273516330,0.955196634
0.001600000,0.000000000,2.000000000,0.000137074,1.798979224,-0.003699344,1.559808091,-1.556108747,-0.003114492,0.481406519,-0.004141110,0.418974130,-0.414833020,0.499913727,0.508728628,0.491357645,-0.004141110,0.418974130,-0.414833020,0.283339228,1.050349401
0.001650000,0.000000000,2.062500000,0.000151010,1.861348469,-0.004534789,1.614237675,-1.609702886,-0.003521489,0.495167417,-0.004768023,0.431202538,-0.426434515,0.499900666,0.508983386,0.491115948,-0.004768023,0.431202538,-0.426434515,0.293162384,1.149591578
0.001700000,0.000000000,2.125000000,0.000165727,1.923719292,-0.005485663,1.668725841,-1.663240178,-0.003960977,0.509357550,-0.005457320,0.443833257,-0.438375937,0.499886306,0.509246526,0.490867168,-0.005457320,0.443833257,-0.438375937,0.302985789,1.252923103
